M_H,M_K,M_J,M_NCD,M_P_RGB,M_P_L,Q_F,Size,Artist,Pntg_num,Genre,Size_tolerance,Artistic_style,true_label
0.36606,0.63343,0.90833,0.18573,0.227464,0.14801,100,568168,eugene-boudin,86,Landscape,0.2,Impressionism,H
0.43232,0.92381,0.8462,0.45591,0.315034,0.269264,91,668952,ivan-aivazovsky,69,Landscape,0.2,Romanticism,H
0.39963,0.93559,0.88391,0.47919,0.254727,0.187003,75,699091,eugene-boudin,63,Animal painting,0.2,Impressionism,H
0.38017,0.93406,0.86721,0.48226,0.264503,0.201663,75,538016,eugene-boudin,11,Genre painting,0.2,Impressionism,H
0.46604,0.93057,0.92533,0.48214,0.230205,0.135264,75,538000,ilya-repin,55,Portrait,0.2,Realism,H
0.39646,0.90741,0.92031,0.40301,0.228658,0.154307,75,538000,aleksey-savrasov,55,Landscape,0.2,Realism,H
0.45692,0.95861,0.91427,0.62542,0.24355,0.159984,65,516958,ilya-repin,20,Portrait,0.2,Realism,H
0.38339,0.94898,0.91665,0.54283,0.25954,0.168166,75,485600,eugene-boudin,98,Marina,0.2,Impressionism,H
0.45537,0.90821,0.91963,0.39519,0.214674,0.173762,75,699000,ilya-repin,88,Genre painting,0.2,Realism,H
0.44068,0.68669,0.91517,0.20732,0.221426,0.150409,100,648850,eugene-boudin,37,Marina,0.2,Impressionism,H
0.43464,0.93329,0.86487,0.48108,0.249419,0.223503,75,701000,ilya-repin,46,Portrait,0.2,Realism,H
0.44385,0.8466,0.83143,0.29876,0.341261,0.305853,99,673000,ivan-aivazovsky,2,Marina,0.2,Romanticism,H
0.39464,0.9358,0.79819,0.4815,0.309959,0.314876,85,663000,ivan-aivazovsky,12,Landscape,0.2,Romanticism,H
0.33908,0.96551,0.91571,0.65232,0.300132,0.148793,31,661125,isaac-levitan,20,Landscape,0.2,Realism,H
0.47122,0.92912,0.91923,0.47465,0.247259,0.138006,75,682000,aleksey-savrasov,42,Landscape,0.2,Realism,H
0.44547,0.91446,0.89607,0.41627,0.244218,0.187715,75,676000,ilya-repin,54,Portrait,0.2,Realism,H
0.35505,0.68078,0.92522,0.20628,0.254979,0.163691,100,663642,camille-corot,77,Landscape,0.2,Realism,H
0.35552,0.94367,0.86242,0.51709,0.299384,0.226178,75,564000,isaac-levitan,56,Landscape,0.2,Realism,H
0.3708,0.92576,0.88767,0.47074,0.246931,0.190035,75,611000,vasily-polenov,29,Genre painting,0.2,Realism,H
0.46292,0.94905,0.87194,0.5613,0.235994,0.208708,75,608768,camille-corot,72,Landscape,0.2,Realism,H
0.39948,0.92639,0.86249,0.45339,0.267283,0.209635,75,658000,ilya-repin,95,Portrait,0.2,Realism,H
0.3709,0.93006,0.87405,0.48011,0.248949,0.182448,75,528800,alfred-sisley,7,Landscape,0.2,Impressionism,H
0.36276,0.92042,0.92846,0.44563,0.254263,0.138697,75,630000,vasily-polenov,55,Landscape,0.2,Realism,H
0.37273,0.92011,0.89586,0.43825,0.257711,0.156447,75,654000,isaac-levitan,37,Landscape,0.2,Realism,H
0.40532,0.95167,0.81966,0.57941,0.300728,0.283105,75,597766,camille-corot,86,Landscape,0.2,Realism,H
0.62851,0.89871,0.95075,0.36295,0.160506,0.108676,75,655000,ivan-shishkin,72,Sketch and study,0.2,Realism,H
0.30725,0.88692,0.92767,0.36408,0.270624,0.125806,75,575000,ivan-shishkin,82,Landscape,0.2,Realism,H
0.35554,0.93514,0.92568,0.49871,0.26027,0.172943,75,659000,ilya-repin,94,Genre painting,0.2,Realism,H
0.38486,0.92565,0.83973,0.46674,0.238355,0.233553,75,652000,ivan-shishkin,66,Landscape,0.2,Realism,H
0.38391,0.92981,0.92951,0.48476,0.207113,0.157128,75,704667,eugene-boudin,52,Genre painting,0.2,Impressionism,H
0.76492,0.94509,0.88722,0.50268,0.262672,0.277881,75,658296,francisco-goya,47,Capriccio,0.2,Romanticism,H
0.31726,0.89917,0.93907,0.39722,0.250888,0.104683,75,650370,alfred-sisley,41,Landscape,0.2,Impressionism,H
0.38746,0.90232,0.97799,0.40271,0.181905,0.054102,75,664000,ivan-shishkin,74,Landscape,0.2,Realism,H
0.38473,0.9718,0.88531,0.70045,0.295101,0.210989,31,583951,isaac-levitan,62,Landscape,0.2,Realism,H
0.47781,0.93176,0.8731,0.46698,0.231679,0.220608,75,707000,aleksey-savrasov,11,Genre painting,0.2,Realism,H
0.34974,0.92908,0.91107,0.46942,0.271086,0.167864,75,538400,eugene-boudin,62,Landscape,0.2,Impressionism,H
0.31474,0.88476,0.93859,0.37974,0.267832,0.120735,90,480000,alfred-sisley,11,Landscape,0.2,Impressionism,H
0.38808,0.92252,0.91766,0.46553,0.222472,0.153996,75,579000,vasily-polenov,46,Landscape,0.2,Realism,H
0.33447,0.91815,0.87054,0.43458,0.288518,0.204719,75,666000,vasily-polenov,52,Landscape,0.2,Realism,H
0.61119,0.90871,0.89876,0.39659,0.205177,0.156731,75,643000,ivan-shishkin,95,Landscape,0.2,Realism,H
0.43138,0.93831,0.8726,0.49664,0.264996,0.186506,75,545000,eugene-boudin,6,Genre painting,0.2,Impressionism,H
0.38104,0.92042,0.92609,0.44393,0.20124,0.1213,75,653718,alfred-sisley,93,Landscape,0.2,Impressionism,H
0.38667,0.92294,0.90133,0.4372,0.248006,0.148519,75,695240,alfred-sisley,66,Landscape,0.2,Impressionism,H
0.57842,0.90191,0.95387,0.39398,0.137372,0.088792,75,559986,ilya-repin,7,Sketch and study,0.2,Realism,H
0.33341,0.91653,0.88293,0.44082,0.249874,0.169318,75,618000,ilya-repin,75,History painting,0.2,Realism,H
0.46,0.95243,0.90588,0.54836,0.255195,0.194863,75,606081,eugene-boudin,84,Landscape,0.2,Impressionism,H
0.32151,0.93834,0.86893,0.5103,0.315254,0.218277,75,516000,isaac-levitan,61,Landscape,0.2,Realism,H
0.3375,0.91645,0.9233,0.43723,0.241623,0.15626,75,598689,alfred-sisley,94,Landscape,0.2,Impressionism,H
0.38823,0.93162,0.92735,0.49316,0.239394,0.142822,75,688000,isaac-levitan,85,Landscape,0.2,Realism,H
0.38226,0.87947,0.94263,0.35306,0.203002,0.094032,75,689724,eugene-boudin,25,Marina,0.2,Impressionism,H
0.44467,0.92759,0.95602,0.47133,0.223417,0.101292,75,549000,vasily-polenov,54,Genre painting,0.2,Realism,H
0.30697,0.87541,0.98805,0.35075,0.235155,0.035249,75,677000,ivan-shishkin,42,Landscape,0.2,Realism,H
0.3762,0.9259,0.90288,0.44997,0.275917,0.172281,75,480928,alfred-sisley,79,Cityscape,0.2,Impressionism,H
0.40027,0.93288,0.8943,0.49677,0.2365,0.197863,75,691000,vasily-polenov,68,Religious painting,0.2,Realism,H
0.34313,0.93364,0.90912,0.50142,0.257293,0.170191,75,698000,ilya-repin,53,Portrait,0.2,Realism,H
0.32708,0.91216,0.89586,0.42855,0.269335,0.17681,75,586000,ivan-shishkin,71,Landscape,0.2,Realism,H
0.39251,0.9504,0.78993,0.55218,0.340556,0.325173,85,678000,ivan-aivazovsky,24,Landscape,0.2,Romanticism,H
0.40787,0.9121,0.92759,0.41307,0.215048,0.123742,75,602000,ilya-repin,2,Sketch and study,0.2,Realism,H
0.35586,0.9495,0.82789,0.543,0.313107,0.276954,75,571000,isaac-levitan,41,Landscape,0.2,Realism,H
0.51665,0.95959,0.85205,0.61993,0.29428,0.254479,75,484800,camille-corot,87,Portrait,0.2,Realism,H
0.74807,0.93397,0.91805,0.46058,0.233438,0.241812,75,658296,francisco-goya,76,Capriccio,0.2,Romanticism,H
0.445,0.95642,0.79643,0.57185,0.356576,0.348496,85,632000,ivan-aivazovsky,96,Landscape,0.2,Romanticism,H
0.49748,0.92618,0.89034,0.44618,0.252373,0.151048,75,568000,ilya-repin,19,Religious painting,0.2,Realism,H
0.42421,0.94883,0.872,0.54177,0.294899,0.214353,75,485875,ilya-repin,36,Portrait,0.2,Realism,H
0.74695,0.93757,0.8971,0.47073,0.257481,0.26608,75,658296,francisco-goya,82,Capriccio,0.2,Romanticism,H
0.51686,0.91839,0.97115,0.4294,0.15928,0.070665,75,594000,vasily-polenov,91,Sketch and study,0.2,Realism,H
0.38725,0.94218,0.82275,0.52978,0.27602,0.275151,75,707000,aleksey-savrasov,95,Landscape,0.2,Realism,H
0.33843,0.95281,0.89832,0.57253,0.302484,0.205796,75,685000,isaac-levitan,15,Landscape,0.2,Realism,H
0.74244,0.93696,0.92057,0.47186,0.231042,0.242076,75,658296,francisco-goya,72,Capriccio,0.2,Romanticism,H
0.76304,0.92898,0.92432,0.4358,0.227767,0.236648,75,658296,francisco-goya,48,Capriccio,0.2,Romanticism,H
0.38327,0.94371,0.87076,0.52342,0.272371,0.217784,75,513600,alfred-sisley,38,Landscape,0.2,Impressionism,H
0.39396,0.90521,0.94663,0.39242,0.220906,0.097233,75,676000,eugene-boudin,97,Marina,0.2,Impressionism,H
0.33151,0.72607,0.92501,0.21882,0.279382,0.165688,100,553600,francisco-goya,61,Genre painting,0.2,Romanticism,H
0.42147,0.9482,0.86956,0.55103,0.272248,0.246165,75,696819,camille-corot,22,Landscape,0.2,Realism,H
0.37594,0.92492,0.90224,0.45879,0.257247,0.175917,75,533000,vasily-polenov,40,Genre painting,0.2,Realism,H
0.38591,0.89987,0.94281,0.39563,0.21992,0.100372,75,664000,vasily-polenov,42,Landscape,0.2,Realism,H
0.40647,0.95209,0.82159,0.56269,0.287745,0.273203,75,601000,ilya-repin,28,Religious painting,0.2,Realism,H
0.51086,0.93395,0.86602,0.47484,0.283749,0.262492,91,671004,ivan-aivazovsky,38,Marina,0.2,Romanticism,H
0.74326,0.93143,0.92256,0.45131,0.229508,0.241711,75,658296,francisco-goya,62,Capriccio,0.2,Romanticism,H
0.30666,0.91796,0.92285,0.43595,0.276179,0.147643,75,650000,isaac-levitan,54,Landscape,0.2,Realism,H
0.43544,0.92285,0.96915,0.45974,0.211478,0.079198,75,638000,isaac-levitan,67,Landscape,0.2,Realism,H
0.44854,0.94803,0.8517,0.52659,0.312602,0.252337,75,587000,isaac-levitan,96,Landscape,0.2,Realism,H
0.36536,0.91791,0.90674,0.43252,0.23826,0.156218,75,606100,alfred-sisley,45,Landscape,0.2,Impressionism,H
0.73812,0.92166,0.94307,0.4192,0.208479,0.21755,75,658296,francisco-goya,66,Capriccio,0.2,Romanticism,H
0.3875,0.9139,0.8912,0.42542,0.245435,0.164228,75,642000,aleksey-savrasov,36,Landscape,0.2,Realism,H
0.43573,0.94763,0.82756,0.54898,0.273512,0.259242,75,549024,camille-corot,64,Landscape,0.2,Realism,H
0.37336,0.92521,0.8566,0.4594,0.226847,0.187314,75,707700,eugene-boudin,32,Animal painting,0.2,Impressionism,H
0.77456,0.94401,0.93206,0.50261,0.234573,0.248918,75,658296,francisco-goya,45,Capriccio,0.2,Romanticism,H
0.34895,0.90358,0.97569,0.40944,0.229433,0.075987,75,630000,ivan-shishkin,30,Landscape,0.2,Realism,H
0.41374,0.94561,0.83032,0.51982,0.291792,0.25508,75,660000,isaac-levitan,42,Landscape,0.2,Realism,H
0.4515,0.94009,0.92604,0.50623,0.240505,0.128786,67,621000,francisco-goya,24,Capriccio,0.2,Romanticism,H
0.38118,0.93664,0.85057,0.48259,0.282978,0.225931,75,629345,eugene-boudin,61,Landscape,0.2,Impressionism,H
0.49684,0.9295,0.96494,0.46289,0.190922,0.105904,75,649000,ilya-repin,29,Genre painting,0.2,Realism,H
0.42208,0.91557,0.90106,0.43226,0.287199,0.188784,85,633000,ivan-aivazovsky,26,Battle painting,0.2,Romanticism,H
0.38274,0.66185,0.89605,0.18761,0.24333,0.177913,100,675450,eugene-boudin,49,Genre painting,0.2,Impressionism,H
0.4058,0.9087,0.9042,0.4123,0.256143,0.174903,75,610000,aleksey-savrasov,21,Landscape,0.2,Realism,H
0.42686,0.94936,0.92931,0.56219,0.22657,0.162033,75,532000,camille-corot,43,Portrait,0.2,Realism,H
0.77181,0.94749,0.91855,0.51698,0.245606,0.259391,75,658296,francisco-goya,37,Capriccio,0.2,Romanticism,H
0.33045,0.88868,0.94117,0.36861,0.264595,0.13831,75,615000,ilya-repin,31,Portrait,0.2,Realism,H
0.32491,0.83603,0.89284,0.30515,0.254229,0.173897,92,672000,alfred-sisley,30,Still life,0.2,Impressionism,H
0.31088,0.89152,0.95562,0.38142,0.263749,0.098975,75,565000,vasily-polenov,4,Landscape,0.2,Realism,H
0.41594,0.93069,0.92151,0.46143,0.264863,0.144021,75,590433,eugene-boudin,91,Genre painting,0.2,Impressionism,H
0.47092,0.90398,0.95277,0.38727,0.186732,0.102697,75,633000,aleksey-savrasov,89,Landscape,0.2,Realism,H
0.41648,0.9662,0.85594,0.63085,0.328244,0.250688,50,672880,ivan-aivazovsky,17,Genre painting,0.2,Romanticism,H
0.41569,0.91177,0.97804,0.43384,0.17672,0.061967,75,619000,ivan-shishkin,99,Landscape,0.2,Realism,H
0.64229,0.9174,0.91862,0.40344,0.18795,0.147984,75,706000,aleksey-savrasov,62,Landscape,0.2,Realism,H
0.37058,0.92658,0.87564,0.46681,0.280906,0.218829,75,677000,aleksey-savrasov,97,Landscape,0.2,Realism,H
0.32253,0.93876,0.89796,0.52579,0.283674,0.176629,75,650000,isaac-levitan,82,Landscape,0.2,Realism,H
0.36541,0.93898,0.87755,0.50659,0.277925,0.220052,75,655000,ilya-repin,89,Portrait,0.2,Realism,H
0.44894,0.87874,0.97601,0.33657,0.149063,0.053358,75,660000,ivan-shishkin,20,Sketch and study,0.2,Realism,H
0.72034,0.95824,0.89816,0.57202,0.187649,0.185064,75,689000,isaac-levitan,73,Landscape,0.2,Realism,H
0.33255,0.92316,0.86096,0.46455,0.280904,0.224992,75,583000,camille-corot,65,Landscape,0.2,Realism,H
0.32781,0.78561,0.91102,0.26033,0.238109,0.131384,93,636916,camille-corot,23,Genre painting,0.2,Realism,H
0.43798,0.94634,0.93702,0.54702,0.232412,0.153563,75,673000,isaac-levitan,55,Cloudscape,0.2,Realism,H
0.41694,0.93733,0.82644,0.49332,0.278258,0.246528,75,614000,aleksey-savrasov,31,Landscape,0.2,Realism,H
0.3796,0.91159,0.89433,0.42017,0.240457,0.165882,75,653000,vasily-polenov,3,Genre painting,0.2,Realism,H
0.69765,0.89473,0.96335,0.36356,0.070534,0.075166,75,674000,ivan-shishkin,26,Sketch and study,0.2,Realism,H
0.3426,0.75265,0.92363,0.24013,0.273461,0.184375,100,594660,ilya-repin,74,Religious painting,0.2,Realism,H
0.36205,0.90655,0.91256,0.40453,0.254678,0.146371,75,660000,vasily-polenov,58,Landscape,0.2,Realism,H
0.39253,0.93402,0.91457,0.51184,0.225496,0.155193,75,664000,vasily-polenov,49,Portrait,0.2,Realism,H
0.66951,0.96378,0.84148,0.58086,0.311331,0.269124,75,586000,isaac-levitan,71,Sketch and study,0.2,Realism,H
0.6596,0.91438,0.97898,0.42005,0.121333,0.061404,75,700000,vasily-polenov,7,Sketch and study,0.2,Realism,H
0.38038,0.89923,0.96052,0.39676,0.239025,0.098847,75,503000,ilya-repin,1,History painting,0.2,Realism,H
0.33545,0.89308,0.94591,0.3908,0.224276,0.09002,75,705000,ivan-shishkin,10,Landscape,0.2,Realism,H
0.32092,0.88535,0.97658,0.36768,0.234723,0.067596,75,681000,ivan-shishkin,94,Sketch and study,0.2,Realism,H
0.35996,0.90764,0.9407,0.41434,0.245118,0.131423,75,607000,vasily-polenov,74,Portrait,0.2,Realism,H
0.41194,0.93043,0.89169,0.48139,0.209962,0.173003,75,662235,camille-corot,95,Landscape,0.2,Realism,H
0.40949,0.91814,0.94172,0.43972,0.257688,0.154098,75,541000,ilya-repin,37,Portrait,0.2,Realism,H
0.75421,0.94113,0.90729,0.48451,0.250512,0.260284,75,658296,francisco-goya,80,Capriccio,0.2,Romanticism,H
0.75018,0.9445,0.90695,0.50504,0.266013,0.281309,75,658296,francisco-goya,28,Capriccio,0.2,Romanticism,H
0.32576,0.92558,0.94636,0.46313,0.245366,0.110711,75,687000,isaac-levitan,4,Landscape,0.2,Realism,H
0.75723,0.94043,0.91844,0.4871,0.246593,0.259958,75,658296,francisco-goya,81,Capriccio,0.2,Romanticism,H
0.74367,0.92964,0.93908,0.43982,0.211161,0.221205,75,658296,francisco-goya,92,Capriccio,0.2,Romanticism,H
0.76376,0.94354,0.90815,0.49535,0.253449,0.263759,75,658296,francisco-goya,95,Capriccio,0.2,Romanticism,H
0.38273,0.95462,0.86465,0.58282,0.349043,0.299508,85,641000,ivan-aivazovsky,11,Marina,0.2,Romanticism,H
0.43584,0.94184,0.87209,0.52826,0.236221,0.20982,75,610893,camille-corot,99,Landscape,0.2,Realism,H
0.63319,0.84122,0.84189,0.31025,0.312577,0.309933,100,500808,francisco-goya,16,Religious painting,0.2,Romanticism,H
0.43654,0.92368,0.85235,0.46735,0.308775,0.281356,91,705024,ivan-aivazovsky,39,Landscape,0.2,Romanticism,H
0.58621,0.89386,0.95283,0.36665,0.160326,0.101162,75,704000,vasily-polenov,14,Landscape,0.2,Realism,H
0.41385,0.93507,0.87343,0.48974,0.254709,0.202228,75,642224,alfred-sisley,10,Landscape,0.2,Impressionism,H
0.76679,0.93944,0.9118,0.48044,0.247153,0.259442,75,658296,francisco-goya,22,Capriccio,0.2,Romanticism,H
0.31423,0.96218,0.92502,0.64539,0.292519,0.150479,31,652536,isaac-levitan,84,Landscape,0.2,Realism,H
0.50642,0.91657,0.90844,0.4154,0.211121,0.151119,75,692000,ivan-shishkin,93,Sketch and study,0.2,Realism,H
0.42425,0.9301,0.90571,0.48048,0.227959,0.164394,75,652740,camille-corot,33,Landscape,0.2,Realism,H
0.42124,0.93538,0.89332,0.50644,0.208451,0.162094,75,694000,ilya-repin,52,Portrait,0.2,Realism,H
0.47049,0.94481,0.89981,0.52416,0.263012,0.177971,75,665000,ilya-repin,45,Portrait,0.2,Realism,H
0.33932,0.90201,0.8875,0.39769,0.266928,0.174602,75,674000,ilya-repin,32,Genre painting,0.2,Realism,H
0.76673,0.93745,0.91392,0.46812,0.238817,0.251223,75,658296,francisco-goya,27,Capriccio,0.2,Romanticism,H
0.5162,0.72798,0.85453,0.22067,0.237311,0.239199,100,689375,francisco-goya,87,Genre painting,0.2,Romanticism,H
0.39786,0.94605,0.89548,0.54232,0.288633,0.237052,85,682000,ivan-aivazovsky,64,Marina,0.2,Romanticism,H
0.75909,0.93912,0.92955,0.48257,0.22911,0.243016,75,658296,francisco-goya,34,Capriccio,0.2,Romanticism,H
0.49551,0.92495,0.91345,0.45093,0.223391,0.162676,75,581000,aleksey-savrasov,70,Landscape,0.2,Realism,H
0.3797,0.94738,0.88892,0.54283,0.257086,0.200275,75,524000,alfred-sisley,78,Landscape,0.2,Impressionism,H
0.37729,0.93478,0.8581,0.4939,0.251341,0.220529,75,620610,camille-corot,4,Landscape,0.2,Realism,H
0.39759,0.90412,0.87822,0.41634,0.280269,0.215513,93,472800,camille-corot,7,Landscape,0.2,Realism,H
0.3568,0.91916,0.9349,0.45018,0.25687,0.13417,75,485100,eugene-boudin,92,Genre painting,0.2,Impressionism,H
0.43215,0.95806,0.82013,0.57575,0.356528,0.332781,85,637000,ivan-aivazovsky,40,Marina,0.2,Romanticism,H
0.75218,0.93294,0.93996,0.45596,0.223906,0.233053,75,658296,francisco-goya,3,Capriccio,0.2,Romanticism,H
0.32777,0.93732,0.88496,0.51243,0.32068,0.249431,85,646000,ivan-aivazovsky,30,Marina,0.2,Romanticism,H
0.71022,0.95934,0.85761,0.57402,0.224288,0.223973,75,611000,isaac-levitan,57,Sketch and study,0.2,Realism,H
0.4558,0.87696,0.95384,0.33526,0.183357,0.08201,75,652000,aleksey-savrasov,3,Sketch and study,0.2,Realism,H
0.3551,0.93739,0.90692,0.50557,0.287188,0.197037,75,474400,camille-corot,34,Landscape,0.2,Realism,H
0.59386,0.97618,0.86812,0.73244,0.318435,0.249515,67,671000,francisco-goya,86,Portrait,0.2,Romanticism,H
0.44309,0.95321,0.86129,0.56672,0.27567,0.248358,75,489056,camille-corot,25,Landscape,0.2,Realism,H
0.63249,0.97845,0.76958,0.73533,0.330737,0.354071,75,683235,ivan-aivazovsky,32,Portrait,0.2,Romanticism,H
0.38762,0.9513,0.87319,0.55827,0.299848,0.240423,75,640000,isaac-levitan,72,Portrait,0.2,Realism,H
0.37004,0.91986,0.88309,0.45634,0.243526,0.182767,75,626000,vasily-polenov,41,Animal painting,0.2,Realism,H
0.52572,0.91088,0.90818,0.39851,0.204402,0.16115,75,642000,ivan-shishkin,28,Landscape,0.2,Realism,H
0.46778,0.87876,0.9379,0.34244,0.183299,0.096828,75,679000,ivan-shishkin,47,Landscape,0.2,Realism,H
0.42191,0.94944,0.88362,0.57504,0.220211,0.185821,75,577000,isaac-levitan,76,Marina,0.2,Realism,H
0.32342,0.90701,0.93112,0.40627,0.266714,0.12817,75,529600,alfred-sisley,83,Landscape,0.2,Impressionism,H
0.37459,0.85746,0.8758,0.33471,0.23959,0.186223,93,594660,camille-corot,28,Landscape,0.2,Realism,H
0.28704,0.88374,0.95828,0.36525,0.264968,0.093178,75,662000,ivan-shishkin,45,Landscape,0.2,Realism,H
0.37252,0.9372,0.85004,0.50196,0.284738,0.258822,75,706000,aleksey-savrasov,65,Landscape,0.2,Realism,H
0.59164,0.86116,0.94534,0.30792,0.144298,0.108182,90,679616,ivan-aivazovsky,74,Religious painting,0.2,Romanticism,H
0.32266,0.91004,0.89571,0.40428,0.278168,0.164147,75,589000,ivan-shishkin,6,Landscape,0.2,Realism,H
0.75001,0.93519,0.92715,0.46841,0.229385,0.240663,75,658296,francisco-goya,50,Capriccio,0.2,Romanticism,H
0.49591,0.88966,0.80531,0.37592,0.345737,0.353225,99,655000,ivan-aivazovsky,50,Landscape,0.2,Romanticism,H
0.3203,0.60028,0.97201,0.17449,0.238788,0.069884,100,607608,eugene-boudin,55,Genre painting,0.2,Impressionism,H
0.52364,0.92575,0.94792,0.44278,0.224884,0.147947,75,625000,aleksey-savrasov,43,Sketch and study,0.2,Realism,H
0.33184,0.9262,0.93962,0.47015,0.262998,0.15095,75,614000,ilya-repin,13,Religious painting,0.2,Realism,H
0.35329,0.94788,0.94262,0.56342,0.261064,0.139649,75,667000,isaac-levitan,86,Landscape,0.2,Realism,H
0.32834,0.93039,0.85422,0.4778,0.277388,0.210509,75,673000,isaac-levitan,90,Landscape,0.2,Realism,H
0.37824,0.92921,0.88264,0.48063,0.247144,0.215576,75,583000,ilya-repin,80,Genre painting,0.2,Realism,H
0.34604,0.92099,0.88305,0.44056,0.271197,0.195472,75,607000,ivan-shishkin,64,Landscape,0.2,Realism,H
0.39771,0.93789,0.88572,0.50416,0.274327,0.206261,75,592000,isaac-levitan,78,Landscape,0.2,Realism,H
0.42385,0.94823,0.89897,0.54446,0.225542,0.161981,75,523200,alfred-sisley,91,Landscape,0.2,Impressionism,H
0.3839,0.959,0.83056,0.58629,0.291673,0.237419,75,654000,isaac-levitan,91,Landscape,0.2,Realism,H
